variable,fecha,fecha_str,pronostico,limite_inferior_95,limite_superior_95,fecha_generacion,horizonte_pronostico
Temperature,2026-02-03 00:00:00,2026-02-03 00:00:00,31.0187609979862,31.01844771758109,31.019074278391308,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 01:00:00,2026-02-03 01:00:00,30.626208308661898,30.62589465297562,30.626521964348175,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 02:00:00,2026-02-03 02:00:00,30.357161849640526,30.35684819395204,30.357475505329013,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 03:00:00,2026-02-03 03:00:00,30.15001656550352,30.149702909815034,30.150330221192007,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 04:00:00,2026-02-03 04:00:00,29.92779329562327,29.927479639934784,29.928106951311758,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 05:00:00,2026-02-03 05:00:00,29.685727051646843,29.685413395958356,29.68604070733533,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 06:00:00,2026-02-03 06:00:00,29.66905927137913,29.668745615690643,29.669372927067617,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 07:00:00,2026-02-03 07:00:00,30.209531985585986,30.2092183298975,30.209845641274473,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 08:00:00,2026-02-03 08:00:00,31.59762029166294,31.59730663597445,31.597933947351425,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 09:00:00,2026-02-03 09:00:00,32.52459916993576,32.52428551424728,32.52491282562424,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 10:00:00,2026-02-03 10:00:00,33.118194163870115,33.117879085637625,33.118509242102604,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 11:00:00,2026-02-03 11:00:00,33.72343507175745,33.723119993524946,33.723750149989954,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 12:00:00,2026-02-03 12:00:00,34.41863705922012,34.41832233602022,34.41895178242002,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 13:00:00,2026-02-03 13:00:00,35.040537723062194,35.04022264482893,35.04085280129546,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 14:00:00,2026-02-03 14:00:00,35.05831434216562,35.05799926393236,35.05862942039889,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 15:00:00,2026-02-03 15:00:00,34.25041994360503,34.25010486537177,34.250735021838295,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 16:00:00,2026-02-03 16:00:00,33.76887337214145,33.768558293908185,33.76918845037471,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 17:00:00,2026-02-03 17:00:00,32.845635383118896,32.84532030488563,32.84595046135216,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 18:00:00,2026-02-03 18:00:00,32.55332168182634,32.553006603593076,32.553636760059604,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 19:00:00,2026-02-03 19:00:00,32.23332515784964,32.23301007961638,32.233640236082906,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 20:00:00,2026-02-03 20:00:00,31.905554311599605,31.905239233366338,31.905869389832873,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 21:00:00,2026-02-03 21:00:00,31.533337337717303,31.533022259484103,31.533652415950503,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 22:00:00,2026-02-03 22:00:00,31.411663639874785,31.411348561641518,31.411978718108053,2026-02-04 18:59:23,72 horas
Temperature,2026-02-03 23:00:00,2026-02-03 23:00:00,31.076029213200037,31.07571413496677,31.076344291433305,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 00:00:00,2026-02-04 00:00:00,31.01877473235362,31.018330414773033,31.019219049934208,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 01:00:00,2026-02-04 01:00:00,30.626226141083137,30.62578155882098,30.626670723345295,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 02:00:00,2026-02-04 02:00:00,30.357180840731512,30.356736258467794,30.35762542299523,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 03:00:00,2026-02-04 03:00:00,30.15003312976808,30.14958854750436,30.150477712031797,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 04:00:00,2026-02-04 04:00:00,29.92780881230803,29.92736423004431,29.928253394571747,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 05:00:00,2026-02-04 05:00:00,29.68573981662452,29.6852952343608,29.686184398888237,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 06:00:00,2026-02-04 06:00:00,29.66907092283905,29.668626340575333,29.66951550510277,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 07:00:00,2026-02-04 07:00:00,30.20954016103665,30.20909557877293,30.209984743300367,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 08:00:00,2026-02-04 08:00:00,31.59762153561386,31.597176953350143,31.59806611787758,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 09:00:00,2026-02-04 09:00:00,32.524595165567966,32.524150583304255,32.52503974783168,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 10:00:00,2026-02-04 10:00:00,33.118187270054925,33.11774168304473,33.11863285706512,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 11:00:00,2026-02-04 11:00:00,33.723424377119144,33.72297879010894,33.72386996412935,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 12:00:00,2026-02-04 12:00:00,34.41862332490818,34.4181779888716,34.41906866094477,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 13:00:00,2026-02-04 13:00:00,35.04051989071299,35.040074303702184,35.0409654777238,2026-02-04 18:59:23,72 horas
Temperature,2026-02-04 14:00:00,2026-02-04 14:00:00,35.05829535115136,35.05784976414055,35.05874093816217,2026-02-04 18:59:23,72 horas
